news,category
Star Live,
চক্রান্তকারীরা ভারত-বাংলাদেশের সম্পর্ক বিনষ্ট করতে পারবে না: পররাষ্ট্রমন্ত্রী ,
রুম্পার মৃত্যুর ঘটনায় স্টামফোর্ডের শিক্ষার্থীদের বিক্ষোভ,
বৈধ অস্ত্রের অবৈধ বাজার,
সৃজিত-মিথিলার বিয়ে আজ,
3 human traffickers held in Dhaka,
Manna blasts govt over price hike of essential commodities,
Democrats say Trump impeachment charges must come swiftly,
South Africa's Shamsi brings magic to cricket celebrations,
Genocide case against Myanmar to be heard at highest UN court,
Bangladesh thrash Bhutan with Soumya’s breezy 50,
2 ‘ABT men’ held in Dhaka,
Cinematographer Mahfuzur Rahman passes away,
The ones we can be proud of,
20 years of Adity Mohsin,
Bangladesh thrash Bhutan with Soumya’s breezy 50,
Tales of an avid traveller ,
The ‘world’s first’ AI news anchor goes live in China,
A Grand Display of Visual Poetry,
We like big belts and we cannot lie ,
2nd DUMCS-TIB Anti-Corruption Moot Competition held,law-our-rights
FutureLaw conclave 2019 held in London,law-our-rights
How far the Biological Diversity Act 2017 complies with international obligations?,law-our-rights
Combating intolerance,law-our-rights
South Asia in a changing world,law-our-rights
On payment of security deposit to landlords,law-our-rights
DHLR holds 6th public lecture,law-our-rights
Intellectual Property regime in the age of Artificial Intelligence,law-our-rights
Can we make our justice system disabled-friendly?,law-our-rights
Legal approaches to curb air pollution,law-our-rights
Rohingya crisis: An effective playmaker in the reserved bench,law-our-rights
Twelve years of Judicial Magistracy,law-our-rights
The legality of Shakib’s ban,law-our-rights
Education and inclusion should be human rights priorities,law-our-rights
SED Foundation organises Environmental Autumn School,law-our-rights
Protection of the identity of victims in judgements,law-our-rights
Black pepper: more than your cooking partner,health
In quest of managing high risk labour and delivery management,health
HC summons health DG over setting up ICU at district hospitals,health
Voluntary donors can donate kidneys: HC,health
Two vaping advisories released by CDC,health
Foods that lower cholesterol,health
"Govt to appoint 5,500 doctors: Health minister",health
Chronic lower back pain: commonest cause for loss of working hours,health
Chronic lower back pain: commonest cause for loss of working hours,health
Health problems in old age,health
Majority of adolescents worldwide are not sufficiently active physically,health
Predicting metastasis from primary tumour size,health
New partnership to help prevent childhood overweight and obesity,health
Thyrocare Bangladesh Ltd got CAP accreditation,health
One child dies of pneumonia every 39 seconds!,health
World Diabetes Day 2019,health
Lt Jamshed Manekshaw: An unsung hero of World War II,in-focus
Eid in 1971: A forgotten chapter of the Liberation War,in-focus
The Future of Dhaka's Urban Transportation ,in-focus
The October Revolution of 1917,in-focus
The decision to partition Bengal in 1905,in-focus
Paradoxes of the Popular: Crowd Politics in Bangladesh,in-focus
PASSION FOR THE PAST,in-focus
The First King of Bengal,in-focus
"Costumes and ornaments, as reflected in ancient Bengal sculpture",in-focus
Bengal through Chinese eyes,in-focus
The cultural heritage of China's Muslim community,in-focus
"""I am only making a modest contribution to the struggle of my people""",in-focus
Trails of Khan Jahan Ali,in-focus
Kashmir: Why Article 370 and why its abrogation will prove to be costly ,in-focus
"""Rohingya refugee crisis is a time bomb that must be quickly defused to avoid any future flare-up""",in-focus
Unthreading Partition: The politics of jute sharing between two Bengals,in-focus
Netaji Subhas Bose in Chattogram,in-focus
Treaty of Versailles 100 years on,in-focus
Armenian heritage in Bangladesh ,in-focus
Bengal 500 years ago,in-focus
West meets East,in-focus
Living like there is no past,in-focus
Blind spots and biases in Bangladesh Studies,in-focus
Of reverse travellers and travelogues,in-focus
The untold stories of Muslim migrants in the Bengal delta,in-focus
Ethics needs esthetics: Beyond the architecture of good intentions,in-focus
The Pogose School: An Armenian legacy in Old Dhaka,in-focus
Weaponising Paperwork: Rohingya Belonging and Statelessness,in-focus
The Bastion of the Lalbagh Fort,in-focus
Railways in colonial Bengal,in-focus
Perilous Homelands: The Rohingya Crisis and The Violence of National Territory,in-focus
Raghu Rai: The Man Behind the Lens,in-focus
Fast and consistent wins the race,next-step
How to manage your desire for power,next-step
Making a Difference,next-step
Analytical skills to boost your career,next-step
How to correct people at work without sounding like a jerk,next-step
The Bossman #114,next-step
Making a Difference,next-step
GOOD GOVERNANCE MUST BE ENSURED,next-step
The Bossman #113,next-step
4 Ways To Foster Belongingness At Work,next-step
Sexism in the workplace,next-step
PERFORMANCE APPRAISAL AND HOW TO ACE IT,next-step
PERFORMANCE APPRAISAL AND HOW TO ACE IT,next-step
The Bossman #112,next-step
Target marketing through data science and how to build a career around it,next-step
The second Bangladesh Economics Summit to be held on October 31- November 2,next-step
Identifying toxic people at workplace,next-step
Sealing the deal with partnerships,next-step
Toastmasters: The best investment for self-development,next-step
How IoT is transforming the workplace,next-step
Shift is shifting to a new home—Toggle,shift
1990 Toyota Soarer Z20,shift
SEMA 2019: our top picks,shift
All Turbo Show 2019,shift
MiniGT Honda Civic Type R FK8,shift
EUROTRIPPING IN CARS,shift
Automophiles Meet held,shift
New BMW X5M and X6M,shift
Look back: Frankfurt Motor Show 2019,shift
Racer’s edge,shift
Bajaj Pulsar NS160 launched,shift
How to make your brand new car last forever,shift
World's Most Eco-Friendly Buildings,spaces
How to deal with compromises when you are buying new property,spaces
Top 4 super smart home gadgets,spaces
How to babyproof your home,spaces
Khamenei says Iran unrest victims to be compensated,world
Two killed in shooting at Pearl Harbor base,world
Sydney smoke crisis ‘longest on record’,world
US completes pullback from northeast Syria,world
Polish ski resort gas explosion kills 8,world
Typhoon death toll hits 13 in Philippines,world
N Korea warns Trump,world
Assault claim is ‘politics at its worst’,world
US to restart talks after Trump’s nod,world
Conflicts over water likely to flare up in coming year,world
Indian rape victim set ablaze on way to court,world
US House to draft impeachment charges against Trump,world
JolerGaan: DIVERSITY IN CREATION,sections
Exports fall 10pc in November,sections
3 killed including shooter at US Navy base,sections
To send or not to send,sections
Bangladesh thrash Bhutan with Soumya’s breezy 50,sections
20 years of Adity Mohsin,sections
Unique consumer tech products for your consideration,sections
RENDEZVOUS WITH THE Dancing Divas,sections
Switching to the family life,sections
We like big belts and we cannot lie ,sections
3 human traffickers held in Dhaka,sections
National judicial conference to be held tomorrow,sections
"WAIT, HOW OLD AM I AGAIN?",sections
Pioneers of lithium-ion battery win Nobel chemistry prize,sections
World Aids Day 2019: Communities make the difference,sections
The ‘world’s first’ AI news anchor goes live in China,sections
